container_code,container_name,mark_up,agreed_purchasing_unit,average_exact_unit_price,average_rounded_unit_price,container_type,container_quantity,container_unit_of_measure,schedule_code
"1","DISPENSING BOTTLES 100 mL","1.1","36.00","0.88335500","0.88","bottle-dispensing","100","mL","4535"
"2","DISPENSING BOTTLES 200 mL","1.1","72.00","0.96433333","0.96","bottle-dispensing","200","mL","4535"
"3","DISPENSING BOTTLES 25 mL","1.1","12.00","0.60443472","0.60","bottle-dispensing","25","mL","4535"
"4","DISPENSING BOTTLES 50 mL","1.1","12.00","0.74547000","0.75","bottle-dispensing","50","mL","4535"
"5","DISPENSING BOTTLES 500 mL","1.1","12.00","1.27820000","1.28","bottle-dispensing","500","mL","4535"
"6","DROPPER CONTAINERS 15 mL glass","1.1","12.00","1.41680000","1.42","dropper-glass","15","mL","4535"
"7","DROPPER CONTAINERS 15 mL polythene","1.1","12.00","0.97900000","0.98","dropper-polythene","15","mL","4535"
"8","POISON BOTTLES 100 mL","1.1","36.00","1.34227500","1.34","bottle-poison","100","mL","4535"
"9","POISON BOTTLES 200 mL","1.1","12.00","1.47950000","1.48","bottle-poison","200","mL","4535"
"10","POISON BOTTLES 25 mL","1.1","12.00","1.21091667","1.21","bottle-poison","25","mL","4535"
"11","POISON BOTTLES 50 mL","1.1","12.00","1.34134000","1.34","bottle-poison","50","mL","4535"
"12","POISON BOTTLES 500 mL","1.1","12.00","1.99650000","2.00","bottle-poison","500","mL","4535"
"13","R.P. CONTAINERS 150 ml (or 40 dram) vial [injectable]","1.1","25.00","0.80630000","0.81","injectable","150","ml","4535"
"14","R.P. CONTAINERS 25 ml (or 8 dram) vial [other]","1.1","200.00","0.31680000","0.32","other","25","ml","4535"
"15","SCREW CAP JARS 100 g","1.1","12.00","1.42793750","1.43","jar-screw-cap","100","g","4535"
"16","SCREW CAP JARS 200 g","1.1","12.00","0.77000000","0.77","jar-screw-cap","200","g","4535"
"17","SCREW CAP JARS 25 g","1.1","12.00","1.10000000","1.10","jar-screw-cap","25","g","4535"
"18","SCREW CAP JARS 50 g","1.1","12.00","1.36656667","1.37","jar-screw-cap","50","g","4535"
"19","SCREW CAP JARS 500 g","1.1","12.00","2.19388889","2.19","jar-screw-cap","500","g","4535"
"54305","POISON BOTTLES 1000 mL","1.1","12.00","3.99300000","3.99","bottle-poison","1000","mL","4535"
"54306","POISON BOTTLES 600 mL","1.1","12.00","4.04983333","4.05","bottle-poison","600","mL","4535"
"54307","SCREW CAP JARS 1000 g","1.1","12.00","4.38777778","4.39","jar-screw-cap","1000","g","4535"