pbs_code,agreed_purchasing_unit,exact_tenth_gram_per_ml_price,exact_one_gram_per_ml_price,exact_ten_gram_per_ml_price,exact_hundred_gram_per_ml_price,rounded_tenth_gram_per_ml_price,rounded_one_gram_per_ml_price,rounded_ten_gram_per_ml_price,rounded_hundred_gram_per_ml_price,schedule_code
"101H","200","0.02016821","0.20168213","2.01682131","20.1682131","0.02","0.2","2.02","20.17","4535"
"102J","200","0.00458325","0.04583254","0.45832542","4.5832542","0.01","0.05","0.46","4.58","4535"
"321X","100","0.01217217","0.12172165","1.21721649","12.17216487","0.01","0.12","1.22","12.17","4535"
"366G","200","0.02351479","0.23514785","2.35147847","23.51478469","0.02","0.24","2.35","23.51","4535"
"474Y","400","0.00388178","0.03881781","0.38817807","3.8817807","0.01","0.04","0.39","3.88","4535"
"490T","100","0.00140013","0.01400125","0.14001254","1.40012539","0.01","0.01","0.14","1.4","4535"
"497E","100","0.00870012","0.08700119","0.87001192","8.70011917","0.01","0.09","0.87","8.7","4535"
"587X","400","0.01048649","0.10486487","1.04864865","10.4864865","0.01","0.1","1.05","10.49","4535"
"623T","100","0.01569511","0.15695113","1.56951127","15.69511272","0.02","0.16","1.57","15.7","4535"
"667D","100","0.00843089","0.08430892","0.84308917","8.4308917","0.01","0.08","0.84","8.43","4535"
"707F","100","0.01282778","0.12827778","1.2827778","12.827778","0.01","0.13","1.28","12.83","4535"
"714N","100","0.0424004","0.42400403","4.24004025","42.40040254","0.04","0.42","4.24","42.4","4535"