revision_number,start_tsp,effective_date,effective_month,effective_year,publication_status,schedule_code
"4","2025-10-01T00:00:00.000+10:00","2025-10-01","OCTOBER","2025","EMBARGO","4535"
"3","2025-10-01T00:00:00.000+10:00","2025-10-01","OCTOBER","2025","EMBARGO (SUPERCEDED)","4534"
"2","2025-10-01T00:00:00.000+10:00","2025-10-01","OCTOBER","2025","EMBARGO","4513"
"1","2025-10-01T00:00:00.000+10:00","2025-10-01","OCTOBER","2025","EMBARGO (SUPERCEDED)","3814"
"3","2025-09-01T00:00:00.000+10:00","2025-09-01","SEPTEMBER","2025","PUBLISHED","4514"
"1","2025-08-01T00:00:00.000+10:00","2025-08-01","AUGUST","2025","PUBLISHED","3773"
"2","2025-07-01T00:00:00.000+10:00","2025-07-01","JULY","2025","PUBLISHED","4489"
"3","2025-06-01T00:00:00.000+10:00","2025-06-01","JUNE","2025","PUBLISHED","4469"
"1","2025-05-01T00:00:00.000+10:00","2025-05-01","MAY","2025","PUBLISHED","3671"
"5","2025-04-01T00:00:00.000+11:00","2025-04-01","APRIL","2025","PUBLISHED","4429"
"6","2025-03-01T00:00:00.000+11:00","2025-03-01","MARCH","2025","PUBLISHED","4404"
"2","2025-02-05T00:00:00.000+11:00","2025-02-05","FEBRUARY","2025","PUBLISHED","4403"
"1","2025-02-01T00:00:00.000+11:00","2025-02-01","FEBRUARY","2025","PUBLISHED","3571"
"1","2025-01-01T00:00:00.000+11:00","2025-01-01","JANUARY","2025","PUBLISHED","3531"
"2","2024-12-01T00:00:00.000+11:00","2024-12-01","DECEMBER","2024","PUBLISHED","4375"
"1","2024-11-01T00:00:00.000+11:00","2024-11-01","NOVEMBER","2024","PUBLISHED","3471"
"3","2024-10-01T00:00:00.000+10:00","2024-10-01","OCTOBER","2024","PUBLISHED","4354"